City,Address,Number_of_rooms,Type,Price_in_dollars,All_Method,REA,Dateofsold,DistanceKM,Postcode,Bathroom,car_place,LandSizeMetres,BuildinSizeMetres,YearBuilt,CouncilArea,Lattitude,Longtitude,GeneralRegion,No_of_properties
Hawthorn,10 Auburn Rd,3,h,,S,Marshall,07-05-2016,4.6,3122,1,2,733,,,Boroondara City Council,-37.8169,145.0459,Southern Metropolitan,11308
Camberwell,1A Gavan St,3,h,,SP,Jellis,11-11-2017,7.7,3124,1,2,,139,1955,Boroondara City Council,-37.8479,145.0955,Southern Metropolitan,8920
Parkdale,2/11 Royal Pde,4,t,1375000,S,Hodges,21-10-2017,21.5,3195,,,,,,Kingston City Council,,,South-Eastern Metropolitan,5087
Murrumbeena,17 Dalny Rd,3,h,,S,Buxton,19-08-2017,10.1,3163,2,2,,149,1940,Glen Eira City Council,-37.90237,145.06706,Southern Metropolitan,4442
Mill Park,10 Langvale Ct,3,h,,S,Love,25-11-2017,17.9,3082,,,,,,Whittlesea City Council,,,Northern Metropolitan,10529
Footscray,6 Coral Av,3,h,985000,S,Sweeney,08-04-2017,6.4,3011,,,,,,Maribyrnong City Council,,,Western Metropolitan,7570
Footscray,4 Adelaide St,4,h,1225000,SP,Nelson,27-11-2016,6.4,3011,2,1,319,130,1915,Maribyrnong City Council,-37.7943,144.8875,Western Metropolitan,7570
Edithvale,28 Keith Av,4,h,,SP,hockingstuart,03-06-2017,27,3196,,,,,,Kingston City Council,,,South-Eastern Metropolitan,2546
West Melbourne,105/493 Victoria St,1,u,,PI,Harcourts,20-05-2017,1.9,3003,1,1,0,51,2007,Melbourne City Council,-37.8047,144.9435,Northern Metropolitan,2230
Flemington,250 Pinoak Cr,3,h,815000,S,Nelson,16-04-2016,4.4,3031,,,,,,Melbourne City Council,,,Northern Metropolitan,3593
Sunbury,1 Owl Pl,3,h,780000,S,Leeburn,11-11-2017,31.7,3429,2,2,,,2010,Hume City Council,-37.5956,144.7204,Western Metropolitan,14092
Montmorency,1/141 Sherbourne Rd,5,h,,S,Darren,22-07-2017,16.2,3094,2,4,1470,212,1980,Banyule City Council,-37.71219,145.13145,Eastern Metropolitan,3891
Kew East,17 Minogue St,5,h,2100000,VB,Nelson,18-06-2016,7.5,3102,3,2,695,360,1950,Boroondara City Council,-37.7904,145.0548,Southern Metropolitan,2671
Glen Iris,17 Nepean St,4,h,,S,Marshall,03-03-2018,7.3,3146,2,3,650,,1920,Boroondara City Council,-37.84848,145.05547,Southern Metropolitan,10412
Essendon,1/143 Bradshaw St,2,u,762000,S,Brad,03-06-2017,7.5,3040,1,1,195,,,Moonee Valley City Council,-37.74125,144.89502,Western Metropolitan,9264
Essendon,10 McCracken St,5,h,1850000,PI,Bullen,07-10-2017,7.5,3040,2,2,,222,1996,Moonee Valley City Council,-37.7536,144.90316,Western Metropolitan,9264
Altona North,10 Freemans St,3,h,750000,VB,Greg,18-06-2016,11.1,3025,,,,,,Hobsons Bay City Council,,,Western Metropolitan,5132
Broadmeadows,331 Camp Rd,3,h,464000,S,Stockdale,11-11-2017,14,3047,1,2,,,,Hume City Council,-37.6866,144.9292,Northern Metropolitan,4294
Thornbury,5/66 Collins St,2,t,630000,PI,Ray,04-03-2017,6.5,3071,,,,,,Darebin City Council,,,Northern Metropolitan,8870
Moonee Ponds,39 Hinkins St,2,h,795000,S,Nelson,24-02-2018,6.2,3039,2,1,78,,,Moonee Valley City Council,-37.76763,144.92649,Western Metropolitan,6232
South Melbourne,4 Law St,2,h,1030000,S,Cayzer,01-07-2017,1.9,3205,,,,,,Port Phillip City Council,,,Southern Metropolitan,5943
Middle Park,308 Richardson St,4,h,3150000,VB,Marshall,03-03-2018,3,3206,2,4,183,188,1890,Port Phillip City Council,-37.85154,144.96518,Southern Metropolitan,2019
Airport West,4/40 McNamara Av,2,u,474000,PI,Barry,26-07-2016,13.5,3042,,,,,,Moonee Valley City Council,,,Western Metropolitan,3464
Glen Waverley,35 Orchard St,3,h,1600000,PI,Barry,09-12-2017,16.7,3150,2,1,654,,,Monash City Council,-37.86722,145.15354,Eastern Metropolitan,15321
Thornbury,39 Smith St,3,h,1913000,S,McGrath,25-02-2017,6.5,3071,2,2,611,212,1930,Darebin City Council,-37.7575,144.9968,Northern Metropolitan,8870
Essendon,82 Price St,3,h,1226000,S,Nelson,10-12-2016,8,3040,1,3,533,125,1955,Moonee Valley City Council,-37.7462,144.8953,Western Metropolitan,9264
Thornbury,54 Bradley Av,3,h,,SP,Nelson,18-03-2017,6.5,3071,,,,,,Darebin City Council,,,Northern Metropolitan,8870
Black Rock,5/323 Beach Rd,2,u,600000,S,Hodges,29-07-2017,17.3,3193,1,1,0,74,1960,Bayside City Council,-37.97853,145.0175,Southern Metropolitan,2866
Balwyn North,8 Riverside Av,4,h,2350000,VB,Jellis,24-02-2018,9.7,3104,2,4,919,,,Boroondara City Council,-37.79037,145.06571,Southern Metropolitan,7809
Maribyrnong,45 Magazine Wy,4,h,1440000,S,Jellis,17-03-2018,4.3,3032,4,2,311,,,Maribyrnong City Council,-37.78506,144.8984,Western Metropolitan,4918
Armadale,22 Lambeth Av,4,h,,SN,hockingstuart,15-10-2016,6.3,3143,,,,,,Stonnington City Council,,,Southern Metropolitan,4836
Doncaster,49 Burgundy Dr,5,h,2168000,S,Barry,10-09-2016,13.9,3108,5,2,669,395,2016,Manningham City Council,-37.7808,145.1185,Eastern Metropolitan,9028
Malvern,3/382 Glenferrie Rd,2,u,,SP,Kay,09-09-2017,5.9,3144,2,2,,,,Stonnington City Council,-37.84539,145.03143,Southern Metropolitan,4675
Brunswick,9 Blair St,4,h,1802500,S,Jellis,03-12-2016,5.2,3056,3,1,238,93,1910,Moreland City Council,-37.7713,144.9643,Northern Metropolitan,11918
Aspendale Gardens,44 Sutherland Av,3,h,811250,SP,Area,17-03-2018,21.5,3195,1,2,542,104,1980,Kingston City Council,-38.01663,145.11742,South-Eastern Metropolitan,2243
Pascoe Vale,4/36 Sylvan Gr,2,u,495000,S,Brad,07-11-2016,9.9,3044,1,1,207,,1975,Moreland City Council,-37.7283,144.9417,Northern Metropolitan,7485
Parkdale,45 Eighth St,5,h,1485000,S,Buxton,27-05-2017,21.5,3195,2,2,693,,1940,Kingston City Council,-37.98928,145.07798,South-Eastern Metropolitan,5087
Croydon,20 Glenora Av,2,h,1150000,VB,McGrath,29-07-2017,23,3136,1,2,1800,,,Maroondah City Council,-37.79578,145.27461,Eastern Metropolitan,11925
Thornbury,329 Gillies St,4,h,2070000,SP,Jellis,01-07-2017,7,3071,3,2,530,251,2016,Darebin City Council,-37.76281,145.01986,Northern Metropolitan,8870
Burwood East,2 Garrawang La,4,h,,PI,Buxton,24-06-2017,14.7,3151,2,2,202,180,2010,Whitehorse City Council,-37.84647,145.15971,Eastern Metropolitan,4048
Brooklyn,9 Corrigan Av,3,h,,SP,hockingstuart,08-10-2016,10.9,3012,,,,,,Brimbank City Council,,,Western Metropolitan,962
Reservoir,57 Yarra Av,3,h,800000,S,HAR,23-09-2017,12,3073,1,1,633,,,Darebin City Council,-37.71922,145.01806,Northern Metropolitan,21650
Doncaster East,78 Saxonwood Dr,3,h,1380000,S,Barry,28-10-2017,14.3,3109,2,2,698,,1970,Manningham City Council,-37.78035,145.15423,Eastern Metropolitan,10999
Doreen,10 Besra Dr,3,h,580000,S,Barry,17-02-2018,25.9,3754,2,2,448,148,2012,Nillumbik Shire Council,-37.58319,145.12487,Northern Victoria,7254
South Yarra,11/209 Domain Rd,2,u,1220000,S,hockingstuart,26-08-2017,2.7,3141,1,1,,,,Melbourne City Council,-37.83449,144.98386,Southern Metropolitan,14887
Bentleigh,48 Tucker Rd,3,h,1045000,SP,hockingstuart,01-07-2017,11.4,3204,1,1,401,114,1970,Glen Eira City Council,-37.92999,145.04932,Southern Metropolitan,6795
Carnegie,1/91 Truganini Rd,2,u,620000,PI,Ray,03-06-2017,10.1,3163,1,2,158,,1970,Glen Eira City Council,-37.89267,145.05474,Southern Metropolitan,7822
Brooklyn,73 Cypress Av,4,h,,VB,hockingstuart,03-03-2018,6.4,3012,2,2,736,,,Brimbank City Council,-37.82083,144.84254,Western Metropolitan,962
Surrey Hills,9 Willcyrus St,3,h,,S,Jellis,07-05-2016,11.2,3127,2,2,640,173,1950,Boroondara City Council,-37.8263,145.1099,Southern Metropolitan,5457
Northcote,182 Separation St,3,h,1050000,VB,Nelson,15-07-2017,5.3,3070,1,2,530,,,Darebin City Council,-37.77062,145.00891,Northern Metropolitan,11364
Armadale,14/49 Kooyong Rd,2,u,,W,McGrath,23-09-2017,6.3,3143,1,1,,64,1960,Stonnington City Council,-37.85889,145.01989,Southern Metropolitan,4836
Malvern,27 Thanet St,4,h,,S,Jellis,13-05-2017,7.4,3144,2,2,334,,,Stonnington City Council,-37.8605,145.0366,Southern Metropolitan,4675
Hoppers Crossing,121 Heaths Rd,3,h,,SN,Barry,09-09-2017,18.4,3029,1,2,558,,,Wyndham City Council,-37.8791,144.69479,Western Metropolitan,13830
Northcote,91 Charles St,3,h,,SN,Nelson,07-05-2016,5.5,3070,1,1,4640,,,Darebin City Council,-37.7769,144.9942,Northern Metropolitan,11364
Footscray,32 Chatham St,3,h,820000,S,Sweeney,17-03-2018,5.1,3011,1,,182,,1900,Maribyrnong City Council,-37.79303,144.89111,Western Metropolitan,7570
Malvern,2/64 Cawkwell St,2,u,635000,S,hockingstuart,08-10-2016,7.4,3144,1,1,0,,1970,Stonnington City Council,-37.8537,145.041,Southern Metropolitan,4675
Footscray,703/250 Barkly St,2,u,,PI,Jas,29-07-2017,5.1,3011,1,1,1909,95,2007,Maribyrnong City Council,-37.79919,144.89607,Western Metropolitan,7570
Ormond,300 Tucker Rd,4,h,1900000,S,Buxton,08-07-2017,11.4,3204,2,2,700,210,1920,Glen Eira City Council,-37.9075,145.05329,Southern Metropolitan,3578
Oak Park,11 Hillcrest Rd,5,h,900000,VB,Brad,30-07-2016,11.5,3046,2,2,568,260,1995,Moreland City Council,-37.7129,144.9253,Northern Metropolitan,2651
Reservoir,14 Rona St,2,h,1090000,S,Ray,07-10-2017,12,3073,1,1,642,,,Darebin City Council,-37.72796,144.99933,Northern Metropolitan,21650
Moonee Ponds,82 Argyle St,3,h,990000,PI,Hodges,07-11-2016,6.9,3039,1,2,328,107,1900,Moonee Valley City Council,-37.7658,144.9077,Western Metropolitan,6232
Avondale Heights,39 Ridge Dr,3,h,881000,S,Nelson,08-04-2017,10.5,3034,1,2,615,,,Moonee Valley City Council,-37.7532,144.8548,Western Metropolitan,4502
Surrey Hills,9 Bristol St,5,h,,S,Marshall,28-08-2016,11.2,3127,2,1,617,326,1910,Boroondara City Council,-37.8326,145.0868,Southern Metropolitan,5457
Brighton,7/138 New St,1,u,495000,S,Nick,29-07-2017,10.5,3186,1,1,0,,1970,Bayside City Council,-37.91814,144.99297,Southern Metropolitan,10579
Reservoir,2/33 Nisbett St,2,t,360000,VB,RW,12-08-2017,12,3073,,,,,,Darebin City Council,,,Northern Metropolitan,21650
South Melbourne,1111/338 Kings Wy,2,u,,SN,Barry,18-03-2017,2.1,3205,,,,,,Port Phillip City Council,,,Southern Metropolitan,5943
Roxburgh Park,67 Lockwood Dr,4,h,600000,S,Ray,03-03-2018,20.6,3064,2,2,576,,,Hume City Council,-37.61475,144.92147,Northern Metropolitan,5833
Thornbury,154 Normanby Av,3,h,765000,SP,Nelson,06-05-2017,6.5,3071,,,,,,Darebin City Council,,,Northern Metropolitan,8870
Rosanna,3 Alfreda Av,3,h,,PI,Barry,22-05-2016,11.4,3084,,,,,,Banyule City Council,,,Eastern Metropolitan,3540
Croydon,92 Lincoln Rd,4,h,775000,S,McGrath,09-12-2017,23,3136,2,1,,,,Maroondah City Council,-37.78771,145.29478,Eastern Metropolitan,11925
Surrey Hills,14 Grovedale Rd,4,h,2285000,S,Lindellas,21-10-2017,10.2,3127,2,2,627,300,,Boroondara City Council,-37.81582,145.09443,Southern Metropolitan,5457
Mount Waverley,31 Valley Rd,4,h,,S,hockingstuart,29-07-2017,14.2,3149,1,2,721,,,Monash City Council,-37.87817,145.13265,Eastern Metropolitan,13366
Kew,1/6 Ridgeway Av,3,t,2350000,PI,Marshall,25-02-2017,5.6,3101,,,,,,Boroondara City Council,,,Southern Metropolitan,10331
Craigieburn,84 Royal Tce,3,t,420000,S,Ray,27-05-2017,20.6,3064,2,2,219,175,2010,Hume City Council,-37.57243,144.92663,Northern Metropolitan,15510
Thornbury,3 Gooch St,2,h,1010000,PI,Love,03-06-2017,7,3071,1,0,245,,,Darebin City Council,-37.75789,145.00136,Northern Metropolitan,8870
Middle Park,319 Richardson St,5,h,,SN,Greg,18-06-2016,4.1,3206,2,1,305,220,1900,Port Phillip City Council,-37.8527,144.9674,Southern Metropolitan,2019
Southbank,1605/14 Kavanagh St,2,u,592500,S,Ray,07-05-2016,1.2,3006,2,1,0,100,2000,Melbourne City Council,-37.8227,144.9664,Southern Metropolitan,8400
Balwyn,1 Bruce St,4,h,,SP,Ray,09-12-2017,7.9,3103,2,2,1019,,,Boroondara City Council,-37.80528,145.09165,Southern Metropolitan,5682
Bentleigh East,1/18 Kennedy St,4,t,1230000,S,Jellis,19-08-2017,13.8,3165,3,2,,,1990,Glen Eira City Council,-37.9196,145.077,Southern Metropolitan,10969
Brighton East,32 Clive St,2,h,1262000,S,Hodges,06-01-2018,10.3,3187,1,2,440,103,1930,Bayside City Council,-37.91444,145.02076,Southern Metropolitan,6938
Murrumbeena,217 Murrumbeena Rd,4,h,1540000,S,Woodards,27-05-2017,10.1,3163,2,2,589,199,1920,Glen Eira City Council,-37.90017,145.06435,Southern Metropolitan,4442
Strathmore,18 Houston Av,4,h,1610000,S,Nelson,28-10-2017,8.2,3041,3,2,873,160,1980,Moonee Valley City Council,-37.7386,144.91433,Western Metropolitan,3284
Diamond Creek,17 Norma St,2,h,621000,S,Mason,01-07-2017,21.8,3089,1,0,610,61,1939,Nillumbik Shire Council,-37.67629,145.15589,Northern Victoria,4258
Doncaster East,2/24 Boronia Gr,3,u,871000,S,Fletchers,27-05-2017,14.3,3109,2,2,195,142,2010,Manningham City Council,-37.79979,145.15665,Eastern Metropolitan,10999
Fawkner,108 Argyle St,3,h,700000,S,Nelson,03-06-2017,13.1,3060,2,2,400,146,1960,Hume City Council,-37.71693,144.96527,Northern Metropolitan,5070
Malvern East,30 Manning Rd,5,h,,S,hockingstuart,09-09-2017,8.4,3145,3,2,844,,,Stonnington City Council,-37.87298,145.04782,Southern Metropolitan,8801
Maribyrnong,29 Monash St,2,h,920000,VB,Biggin,24-06-2017,4.3,3032,1,1,575,,,Maribyrnong City Council,-37.78446,144.88781,Western Metropolitan,4918
Williamstown,3 Hosking Ct,3,h,,S,Jas,10-12-2016,8,3016,1,2,261,,,Hobsons Bay City Council,-37.8576,144.8792,Western Metropolitan,6380
Malvern East,61a Paxton St,3,h,1300000,S,Marshall,22-08-2016,11.2,3145,2,2,323,,,Stonnington City Council,-37.8709,145.0565,Southern Metropolitan,8801
Camberwell,72 Hunter Rd,3,h,1620000,S,Jellis,13-05-2017,7.8,3124,2,2,575,155,2000,Boroondara City Council,-37.8378,145.0909,Southern Metropolitan,8920
Bentleigh,9/15 Vickery St,2,u,665000,SP,Buxton,25-11-2017,11.4,3204,,,,,,Glen Eira City Council,,,Southern Metropolitan,6795
St Kilda,45/151 Fitzroy St,2,u,600000,VB,hockingstuart,29-07-2017,5,3182,1,1,0,82,1930,Port Phillip City Council,-37.85911,144.979,Southern Metropolitan,13240
Glen Iris,8/40 Osborne Av,2,u,,SN,Biggin,06-01-2018,7.3,3146,,,,,,Boroondara City Council,,,Southern Metropolitan,10412
Armadale,1/13 Denbigh Rd,3,t,,PI,Marshall,18-06-2016,6.3,3143,2,2,0,135,1998,Stonnington City Council,-37.859,145.0153,Southern Metropolitan,4836
Malvern,57 Cawkwell St,4,h,,SN,Gary,18-11-2017,5.9,3144,3,4,753,,2000,Stonnington City Council,-37.8539,145.0406,Southern Metropolitan,4675
South Yarra,27a Nicholson St,3,t,,SN,Kay,08-04-2017,3.3,3141,,,,,,Melbourne City Council,,,Southern Metropolitan,14887
Carnegie,2/39 Coorigil Rd,2,u,,S,Ray,06-01-2018,10.1,3163,,,,,,Glen Eira City Council,,,Southern Metropolitan,7822
Brunswick West,8 Howson St,4,h,,VB,Jellis,06-01-2018,5.2,3055,2,4,555,160,1910,Moreland City Council,-37.77056,144.9485,Northern Metropolitan,7082
Ashwood,1/7 Farmer St,2,t,700000,S,hockingstuart,07-11-2016,12.2,3147,1,2,367,110,1970,Monash City Council,-37.8662,145.109,Southern Metropolitan,2894
Sunshine,94 Couch St,4,h,670000,PI,Douglas,18-03-2017,12.6,3020,1,1,603,106,1950,Brimbank City Council,-37.7945,144.8267,Western Metropolitan,3755
Camberwell,8/1277 Toorak Rd,2,u,530000,PI,Ross,17-09-2016,7.8,3124,1,1,0,76,1960,Boroondara City Council,-37.8491,145.086,Southern Metropolitan,8920
Coburg North,43 Newlands Rd,3,h,,SP,Jellis,24-02-2018,6.7,3058,1,3,747,,,Darebin City Council,-37.73071,144.97146,Northern Metropolitan,3445
Elwood,301/35 Ormond Rd,2,u,1050000,VB,Chisholm,04-03-2017,7.7,3184,2,2,2381,,2009,Port Phillip City Council,-37.8831,144.9841,Southern Metropolitan,8989
Rowville,85 Seebeck Rd,5,h,750000,VB,Barry,17-03-2018,23.5,3178,3,,742,241,1999,Knox City Council,-37.93765,145.22329,South-Eastern Metropolitan,11667
Brighton East,19 Northern Av,5,h,,SP,Biggin,18-11-2017,10.3,3187,3,2,648,115,2013,Bayside City Council,-37.902,145.0178,Southern Metropolitan,6938
Point Cook,59 Breasley Pky,3,h,670000,S,hockingstuart,06-01-2018,14.7,3030,,,,,,Wyndham City Council,,,Western Metropolitan,15542
Brighton East,23a Elizabeth St,3,t,,S,hockingstuart,22-08-2016,10.7,3187,2,2,297,,,Bayside City Council,-37.9047,145.0168,Southern Metropolitan,6938
Beaumaris,11 Cloris Av,5,h,,PN,Follett,24-06-2017,17.3,3193,,,,,,Bayside City Council,,,Southern Metropolitan,5366
Brunswick,69 Glenlyon Rd,3,h,1210000,S,Nelson,28-08-2016,5.2,3056,2,1,280,130,1890,Moreland City Council,-37.7719,144.9661,Northern Metropolitan,11918
Balwyn North,19 Jacka St,4,h,3230000,S,Jellis,03-09-2016,9.2,3104,4,3,1135,275,1960,Boroondara City Council,-37.8014,145.0892,Southern Metropolitan,7809
Frankston,3/28 Lewis St,2,u,335250,SP,O'Brien,03-09-2017,38,3199,1,1,,75,1972,Frankston City Council,-38.1393,145.12976,South-Eastern Metropolitan,17055
Hawthorn East,1/17 Auburn Gr,2,u,573000,S,Kay,13-08-2016,7.5,3123,1,1,0,60,1970,Boroondara City Council,-37.8254,145.047,Southern Metropolitan,6482
Brighton,10 Emily St,2,h,,S,Marshall,23-09-2017,10.5,3186,,,302,,,Bayside City Council,-37.91151,144.9964,Southern Metropolitan,10579
Bentleigh East,1/811 Centre Rd,2,h,710000,S,Buxton,27-11-2016,13.9,3165,1,1,0,115,1950,Glen Eira City Council,-37.9212,145.0606,Southern Metropolitan,10969
Richmond,30 Clifton St,3,h,,S,Jellis,09-09-2017,2.4,3121,1,1,,,,Yarra City Council,-37.82373,144.99571,Northern Metropolitan,14949
Bentleigh East,7 Wallace St,3,h,1355000,S,Buxton,08-10-2016,13.9,3165,1,2,818,,,Glen Eira City Council,-37.9241,145.0539,Southern Metropolitan,10969
Bundoora,32 Timberglades Dr,3,h,962250,S,Ray,17-03-2018,12.1,3083,2,2,588,151,2002,Banyule City Council,-37.71014,145.05526,Northern Metropolitan,10175
Hawthorn East,308/36 Lilydale Gr,1,u,,W,Barry,28-10-2017,6.2,3123,,,,,,Boroondara City Council,,,Southern Metropolitan,6482
Eltham,2 Eurabbie Ct,4,h,,SP,Barry,03-09-2017,18,3095,2,2,965,222,1985,Banyule City Council,-37.70866,145.16207,Eastern Metropolitan,6990
Meadow Heights,14 Hopkins Wy,3,h,490000,S,HAR,09-09-2017,17.4,3048,2,2,,132,1990,Hume City Council,-37.64172,144.9245,Northern Metropolitan,4704
Albert Park,161 Kerferd Rd,4,h,3600000,PI,Greg,14-10-2017,3,3206,3,1,177,266,1890,Port Phillip City Council,-37.84787,144.95333,Southern Metropolitan,3280
Malvern East,4/14 Tollington Av,2,t,,S,Jellis,21-10-2017,8.4,3145,,,,,,Stonnington City Council,,,Southern Metropolitan,8801
Melton,118 Barries Rd,3,h,283000,S,FN,23-09-2017,31.7,3337,1,0,362,19,1976,Melton City Council,-37.68755,144.56887,Western Victoria,3600
Epping,3 Viewgrand Bvd,4,h,1170000,S,HAR,14-10-2017,19.6,3076,2,2,,,,Whittlesea City Council,-37.62235,145.01864,Northern Metropolitan,10926
Bentleigh East,6/12 Neville St,3,u,740000,PI,Hodges,04-03-2017,13.9,3165,2,1,258,,,Glen Eira City Council,-37.9244,145.0547,Southern Metropolitan,10969
Aspendale,13/34 Nepean Hwy,2,u,,PN,Barry,24-06-2017,21.5,3195,1,1,0,55,1965,Kingston City Council,-38.01453,145.09183,South-Eastern Metropolitan,2824
Bentleigh East,2/12 Brosa Av,3,t,1150000,S,hockingstuart,24-09-2016,13.9,3165,,,,,,Glen Eira City Council,,,Southern Metropolitan,10969
Preston,2/9 Furzer St,3,t,840000,SP,RW,17-02-2018,8.4,3072,,,,,,Darebin City Council,,,Northern Metropolitan,14577
Elsternwick,24 Clarence St,3,h,1940000,S,Biggin,20-05-2017,8.5,3185,2,2,439,,1912,Glen Eira City Council,-37.892,145.0103,Southern Metropolitan,4898
Surrey Hills,37A Kent Rd,4,h,,SN,Marshall,17-03-2018,10.2,3127,3,3,802,262,1940,Boroondara City Council,-37.82854,145.09439,Southern Metropolitan,5457
Moonee Ponds,45 Park St,3,h,1075000,S,Nelson,10-02-2018,6.2,3039,1,1,288,,,Moonee Valley City Council,-37.76195,144.91775,Western Metropolitan,6232
Albert Park,31 Richardson St,3,h,1300000,S,hockingstuart,10-12-2016,3.3,3206,1,0,129,,,Port Phillip City Council,-37.8422,144.949,Southern Metropolitan,3280
Mulgrave,76 Hansworth St,3,h,850000,PI,Barry,16-09-2017,18.8,3170,1,2,648,,,Monash City Council,-37.93134,145.17584,South-Eastern Metropolitan,7113
Meadow Heights,10 Castella Ct,3,h,450000,SP,Barry,08-07-2017,17.4,3048,1,1,702,96,1970,Hume City Council,-37.66059,144.92006,Northern Metropolitan,4704
Niddrie,32 Diamond St,3,h,1235000,S,Brad,04-03-2017,11.2,3042,2,1,0,204,2009,Moonee Valley City Council,-37.7473,144.8897,Western Metropolitan,2291
Ivanhoe,9 Sherwood Rd,3,h,,SN,Miles,22-07-2017,7.8,3079,1,1,910,254,1920,Banyule City Council,-37.76688,145.04871,Eastern Metropolitan,5549
Malvern,4/52 Cawkwell St,3,t,,PI,Jellis,24-02-2018,5.9,3144,,,,,,Stonnington City Council,,,Southern Metropolitan,4675
Footscray,15 Greer St,4,h,1000000,SA,Nelson,22-07-2017,5.1,3011,2,1,180,206,1994,Maribyrnong City Council,-37.79686,144.908,Western Metropolitan,7570
Kingsville,83 Kingsville St,1,h,630000,S,Burnham,10-12-2016,7.8,3012,1,1,370,,,Maribyrnong City Council,-37.8118,144.8783,Western Metropolitan,1808
Essendon North,32A Birdwood St,3,h,1260000,S,Nelson,03-09-2017,8.2,3041,2,2,,215,2013,Moonee Valley City Council,-37.73618,144.89709,Western Metropolitan,1308
Keilor Downs,5 Ventnor Pl,3,h,756001,S,Prof.,19-08-2017,15.5,3038,2,2,,,,Brimbank City Council,-37.71691,144.80437,Western Metropolitan,3656
Pascoe Vale,130 Essex St,3,h,960000,S,Brad,28-08-2016,9.9,3044,2,2,501,501,1960,Moreland City Council,-37.7258,144.9347,Northern Metropolitan,7485
Frankston,13 Brooklyn Av,4,h,,VB,hockingstuart,16-09-2017,38,3199,1,2,876,,,Frankston City Council,-38.16176,145.1448,South-Eastern Metropolitan,17055
Altona Meadows,3 Parham Ct,3,h,,SN,Barry,01-07-2017,15.5,3028,1,3,568,142.1,1980,Hobsons Bay City Council,-37.87931,144.78753,Western Metropolitan,7630
Brunswick West,3/10 Melville Rd,3,t,865000,S,Barry,06-05-2017,5.9,3055,,,,,,Moreland City Council,,,Northern Metropolitan,7082
Sandringham,9 Miller St,3,h,1800000,S,Buxton,17-03-2018,15.2,3191,2,3,668,,,Bayside City Council,-37.95469,145.02152,Southern Metropolitan,4497
Preston,37 William St,3,h,1045000,S,Ray,25-11-2017,8.4,3072,1,2,449,,,Darebin City Council,-37.7345,145.002,Northern Metropolitan,14577
Hawthorn,5/65 Riversdale Rd,2,u,600000,VB,Jellis,10-12-2016,4.6,3122,,,,,,Boroondara City Council,,,Southern Metropolitan,11308
St Kilda,14/31 Burnett St,2,u,475000,SP,McGrath,13-08-2016,6.1,3182,1,1,0,83,1970,Port Phillip City Council,-37.8604,144.9817,Southern Metropolitan,13240
Oakleigh South,24 Columbia St,3,h,1110000,S,Buxton,09-09-2017,15.5,3167,1,2,704,120,1970,Kingston City Council,-37.93409,145.08383,South-Eastern Metropolitan,3692
